CEDEAR-ARS,Ratio,CEDEARD,Subyacente
TWLO.BA,36,TWLOD.BA,TWLO
ARCO.BA,0.5,ARCOD.BA,ARCO
WMT.BA,18,WMTD.BA,WMT
DOCU.BA,22,DOCUD.BA,DOCU
RBLX.BA,2,RBLXD.BA,RBLX
LMT.BA,20,LMTD.BA,LMT
GS.BA,13,GSD.BA,GS
ERIC.BA,2,ERICD.BA,ERIC
EBAY.BA,2,EBAYD.BA,EBAY
ABEV.BA,0.33333333333333,ABEVD.BA,ABEV
SE.BA,32,SED.BA,SE
BP.BA,5,BPD.BA,BP
NOKA.BA,1,NOKAD.BA,NOK
LRCX.BA,56,LRCXD.BA,LRCX
PM.BA,18,PMD.BA,PM
CVS.BA,15,CVSD.BA,CVS
MDLZ.BA,15,MDLZD.BA,MDLZ
DAL.BA,8,DALD.BA,DAL
CCL.BA,3,CCLD.BA,C1CL34
ACN.BA,75,ACND.BA,ACN
SCHW.BA,13,SCHWD.BA,SCHW 
MRNA.BA,19,MRNAD.BA,0A45
STLA.BA,5,STLAD.BA,STLA
BKNG.BA,700,BKNGD.BA,BKNG34
TMUS.BA,33,TMUSD.BA,TMUS
SPCE.BA,0.5,SPCED.BA,SPCE
RIOT.BA,3,RIOTD.BA,RIOT
ROKU.BA,13,ROKUD.BA,ROKU
RACE.BA,83,RACED.BA,RACE
SWKS.BA,21,SWKSD.BA,SWKS
PINS.BA,7,PINSD.BA,PINS
GPRK.BA,1,GPRKD.BA,GPRK
AIG.BA,5,AIGD.BA,AIG
ITUB.BA,1,ITUBD.BA,ITUB
UAL.BA,5,UALD.BA,UAL
CAR.BA,26,CARD.BA,CAR
FCX.BA,3,FCXD.BA,FCX
CAH.BA,3,CAHD.BA,CAH
MOS.BA,5,MOSD.BA,MOS
GFI.BA,1,GFID.BA,GFI
BMY.BA,3,BMYD.BA,BMY
HMC.BA,1,HMCD.BA,HMC
HWM.BA,1,HWMD.BA,HWM
BBV.BA,1,BBVD.BA,BBVA
GSK.BA,4,GSKD.BA,GSK
WBO.BA,6,WBOD.BA,WB
CBRD.BA,1,CBRDD.BA,CBDBY
XOM.BA,10,XOMD.BA,XOM
BK.BA,2,BKD.BA,BK
LVS.BA,2,LVSD.BA,LVS
TGT.BA,24,TGTD.BA,TGT
NTES.BA,14,NTESD.BA,NTES
MSI.BA,20,MSID.BA,MSI
SYY.BA,8,SYYD.BA,SYY
ADP.BA,6,ADPD.BA,ADP
ADI.BA,15,ADID.BA,ADI
CL.BA,3,CLD.BA,CL
AEG.BA,1,AEGD.BA,AEG
BSBR.BA,1,BSBRD.BA,BSBR
TEFO.BA,8,TEFOD.BA,TEF
SAN.BA,0.25,SAND.BA,SAN
HPQ.BA,1,HPQD.BA,HPQ
KMB.BA,6,KMBD.BA,KMB
HL.BA,1,HLD.BA,HL
IBN.BA,1,IBND.BA,IBN
CAAP.BA,0.25,CAAPD.BA,CAAP
AMX.BA,1,AMXD.BA,AMX
PHG.BA,5,PHGD.BA,PHG
TV.BA,3,TVD.BA,TV
HON.BA,8,HOND.BA,HON
GLW.BA,4,GLWD.BA,GLW
INFY.BA,1,INFYD.BA,INFY
UGP.BA,1,UGPD.BA,UGP
SID.BA,0.125,SIDD.BA,SID
IP.BA,4,IPD.BA,IP
KGC.BA,1,KGCD.BA,KGC
UNP.BA,20,UNPD.BA,UNP
BCS.BA,1,BCSD.BA,BCS
PSX.BA,6,PSXD.BA,PSX
DD.BA,5,DDD.BA,DD
YY.BA,5,YYD.BA,YY
